"","Date_time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"1",2007-02-01 00:00:00,0.326,0.128,243.15,1.4,0,0,0
"2",2007-02-01 00:01:00,0.326,0.13,243.32,1.4,0,0,0
"3",2007-02-01 00:02:00,0.324,0.132,243.51,1.4,0,0,0
"4",2007-02-01 00:03:00,0.324,0.134,243.9,1.4,0,0,0
"5",2007-02-01 00:04:00,0.322,0.13,243.16,1.4,0,0,0
"6",2007-02-01 00:05:00,0.32,0.126,242.29,1.4,0,0,0
"7",2007-02-01 00:06:00,0.32,0.126,242.46,1.4,0,0,0
"8",2007-02-01 00:07:00,0.32,0.126,242.63,1.4,0,0,0
"9",2007-02-01 00:08:00,0.32,0.128,242.7,1.4,0,0,0
"10",2007-02-01 00:09:00,0.236,0,242.89,1,0,0,0
"11",2007-02-01 00:10:00,0.226,0,243,1,0,0,0
"12",2007-02-01 00:11:00,0.224,0,242.5,1,0,0,0
"13",2007-02-01 00:12:00,0.224,0,242.18,1,0,0,0
"14",2007-02-01 00:13:00,0.224,0,242.15,1,0,0,0
"15",2007-02-01 00:14:00,0.224,0,242.73,1,0,0,0
"16",2007-02-01 00:15:00,0.26,0,242.85,1.2,0,0,0
"17",2007-02-01 00:16:00,0.304,0.096,242.89,1.2,0,0,0
"18",2007-02-01 00:17:00,0.302,0.096,242.87,1.2,0,0,0
"19",2007-02-01 00:18:00,0.302,0.094,242.19,1.2,0,0,0
"20",2007-02-01 00:19:00,0.3,0.094,242.23,1.2,0,0,0
"21",2007-02-01 00:20:00,0.3,0.094,242.16,1.2,0,0,0
"22",2007-02-01 00:21:00,0.298,0.094,242.29,1.2,0,0,0
"23",2007-02-01 00:22:00,0.298,0.094,242.47,1.2,0,0,0
"24",2007-02-01 00:23:00,0.296,0.094,242.32,1.2,0,0,0
"25",2007-02-01 00:24:00,0.296,0.096,242.98,1.2,0,0,0
"26",2007-02-01 00:25:00,0.298,0.1,243.65,1.2,0,0,0
"27",2007-02-01 00:26:00,0.228,0,243.55,1,0,0,0
